,TrainA,TrainB,TrainC,TrainHC,Crews,Crew Wages,Demurrage Fees,Total Cost
565,20,18,9,-1,2,225000,0,225000
566,16,18,16,-1,2,171000,0,171000
567,19,10,7,-1,2,234000,0,234000
568,12,6,15,-1,2,243000,0,243000
569,6,8,16,-1,2,234000,0,234000
570,11,17,20,-1,2,180000,0,180000
571,12,11,14,12,2,324000,105000,429000
572,18,6,9,-1,2,252000,0,252000
573,11,19,8,-1,2,243000,0,243000
574,12,20,7,-1,1,207000,0,207000
575,17,11,19,-1,2,216000,0,216000
576,13,13,10,-1,2,234000,0,234000
577,8,20,15,-1,1,144000,0,144000
578,6,10,11,13,2,372000,310000,682000
579,12,9,6,-1,2,312000,45000,357000
580,6,14,11,-1,2,243000,0,243000
581,7,13,6,-1,2,246000,15000,261000
582,15,20,16,-1,2,156000,15000,171000
583,20,8,16,-1,1,216000,0,216000
584,11,17,15,-1,2,264000,15000,279000
585,8,14,5,12,2,384000,265000,649000
586,7,12,13,-1,2,288000,45000,333000
587,13,19,16,-1,2,189000,0,189000
588,11,13,12,-1,2,288000,30000,318000
589,8,9,16,-1,2,246000,15000,261000
590,17,13,5,-1,1,216000,0,216000
591,10,15,8,-1,2,225000,0,225000
592,19,5,6,12,2,360000,155000,515000
593,15,14,5,-1,2,264000,15000,279000
594,8,19,20,-1,2,228000,15000,243000
595,6,17,11,-1,1,216000,0,216000
596,10,9,12,-1,2,279000,30000,309000
597,14,12,5,-1,2,243000,0,243000
598,14,7,12,-1,2,207000,0,207000
599,15,7,8,12,2,372000,160000,532000
600,5,18,10,-1,1,216000,0,216000
601,18,7,5,-1,2,252000,0,252000
602,19,18,15,-1,2,186000,15000,201000
603,12,11,7,-1,2,288000,45000,333000
604,18,8,7,-1,2,255000,15000,270000
605,12,18,17,-1,2,192000,15000,207000
606,17,7,8,12,2,396000,210000,606000
607,9,15,13,-1,2,264000,15000,279000
608,18,13,16,-1,2,222000,0,222000
609,14,13,7,-1,2,264000,15000,279000
610,20,12,6,-1,1,216000,0,216000
611,17,7,6,-1,2,264000,15000,279000
612,13,18,9,-1,1,162000,0,162000
613,8,12,19,13,2,348000,305000,653000
614,8,6,10,-1,2,288000,15000,303000
615,9,20,6,-1,2,207000,0,207000
616,8,11,19,-1,2,216000,0,216000
617,18,10,9,-1,2,237000,15000,252000
618,13,12,6,-1,2,264000,15000,279000
619,13,20,17,-1,2,162000,0,162000
620,15,16,7,13,2,348000,225000,573000
621,5,20,18,-1,2,234000,0,234000
622,15,6,16,-1,2,264000,15000,279000
623,5,10,18,-1,1,207000,0,207000
624,13,5,14,-1,2,264000,15000,279000
625,17,19,16,-1,2,162000,30000,192000
626,18,7,9,-1,2,252000,0,252000
627,8,6,18,11,2,384000,205000,589000
628,20,14,8,-1,1,216000,0,216000
629,11,15,16,-1,2,255000,15000,270000
630,16,14,8,-1,2,252000,0,252000
631,10,11,12,-1,2,243000,30000,273000
632,15,17,18,-1,2,186000,15000,201000
633,12,13,11,-1,2,279000,30000,309000
634,15,18,17,11,2,348000,45000,393000
635,15,17,8,-1,2,252000,0,252000
636,10,15,19,-1,1,198000,0,198000
637,19,14,5,-1,1,216000,0,216000
638,19,17,12,-1,2,234000,0,234000
639,6,11,17,-1,1,216000,0,216000
640,13,9,11,-1,2,276000,0,276000
641,11,6,14,13,2,336000,135000,471000
642,6,12,13,-1,2,276000,30000,306000
643,14,5,20,-1,1,216000,0,216000
644,18,5,12,-1,1,216000,0,216000
645,20,19,16,-1,2,186000,15000,201000
